Q5SME2_THET8	F2NNF7_MARHT	1:1	
Q5SME1	F2NNF8_MARHT	1:1	1113391
Q5SME0_THET8	F2NNF9_MARHT	1:1	1100996
Q5SMD7	F2NN35_MARHT	1:1	634193
Q5SMD6_THET8	F2NN34_MARHT	1:1	61121
Q5SMD5_THET8	F2NN32_MARHT	1:1	1100455
Q5SMD2_THET8	F2NKR6_MARHT	1:1	1100755
Q5SMD1_THET8	F2NPL9_MARHT	1:1	832465
Q5SMD0_THET8	F2NKQ5_MARHT	1:1	1102251
Q5SMC8	F2NNT2_MARHT	1:1	1113380
Q5SMC7	F2NNT1_MARHT	1:1	1101310
Q5SMC6_THET8	F2NNS4_MARHT	1:1	654878
Q5SMC4_THET8	F2NL69_MARHT	1:1	
Q5SMC2_THET8	F2NL68_MARHT	1:1	
Q5SMC0_THET8	F2NL67_MARHT	1:1	1001001
Q5SMB9_THET8	F2NKM4_MARHT	1:1	765476
Q5SMB8_THET8	F2NKJ8_MARHT	1:1	845518
Q5SMB7_THET8	F2NMV8_MARHT	1:1	707651
Q5SMB6_THET8	F2NMW6_MARHT	1:1	1012614
Q5SMA3_THET8	F2NMW7_MARHT	1:1	1088841
Q5SMA2_THET8	F2NKN2_MARHT	1:1	61215
P60494	F2NKN3_MARHT	1:1	1110096
Q5SMA0_THET8	F2NKN4_MARHT	1:1	804549
Q56232	F2NKN5_MARHT	1:1	
Q5SM94_THET8	F2NKY1_MARHT	1:1	765778
Q5SM93_THET8	F2NKY2_MARHT	1:1	742122
Q5SM92_THET8	F2NKY3_MARHT	1:1	61376
Q5SM91_THET8	F2NKY5_MARHT	1:1	1034756
Q5SM89_THET8	F2NQA1_MARHT	1:1	1039924
Q5SM88_THET8	F2NNP9_MARHT	1:1	605955
Q5SM87_THET8	F2NNQ0_MARHT	1:1	603631
Q5SM86_THET8	F2NPW5_MARHT	1:1	833436
Q5SM85_THET8	F2NNP8_MARHT	1:1	1113364
Q5SM84_THET8	F2NNP7_MARHT	1:1	1032790
Q5SM83_THET8	F2NKN9_MARHT	1:1	61246
Q5SM82_THET8	F2NNB6_MARHT	1:1	60739
Q5SM81_THET8	F2NPK2_MARHT	1:1	1084857
Q5SM80_THET8	F2NRA4_MARHT	1:1	1079189
Q5SM79_THET8	F2NRA3_MARHT	1:1	851839
Q5SM78_THET8	F2NKY0_MARHT	1:1	60734
Q5SM76_THET8	F2NKX4_MARHT	1:1	1095275
Q5SM71_THET8	F2NLT7_MARHT	1:1	933241
Q5SM70_THET8	F2NLP2_MARHT	1:1	61494
Q5SM69_THET8	F2NLP3_MARHT	1:1	633290
Q5SM67_THET8	F2NLR0_MARHT	1:1	
Q5SM66_THET8	F2NM92_MARHT	1:1	1091520
Q5SM65_THET8	F2NN98_MARHT	1:1	604257
Q5SM62_THET8	F2NQ93_MARHT	1:1	
Q5SM61_THET8	F2NQ92_MARHT	1:1	60567
Q5SM60	F2NQ90_MARHT	1:1	1077515
Q56217	F2NLZ9_MARHT	1:1	850318
Q56218	F2NM00_MARHT	1:1	851737
Q56219	F2NM01_MARHT	1:1	52680
Q56220	F2NM02_MARHT	1:1	1031490
Q56221	F2NM03_MARHT	1:1	827823
Q56222	F2NM04_MARHT	1:1	
Q56223	F2NM05_MARHT	1:1	823354
Q60019	F2NM06_MARHT	1:1	851695
Q56224	F2NM07_MARHT	1:1	852790
Q56225	F2NM08_MARHT	1:1	851869
Q56226	F2NM09_MARHT	1:1	1054542
Q56227	F2NM10_MARHT	1:1	851894
Q56228	F2NM11_MARHT	1:1	851702
Q56229	F2NM12_MARHT	1:1	
Q5SM45	F2NM42_MARHT	1:1	1107700
Q5SM44_THET8	F2NM41_MARHT	1:1	855279
Q5SM43_THET8	F2NM36_MARHT	1:1	782321
Q5SM42_THET8	F2NLY4_MARHT	1:1	1033747
Q5SM41_THET8	F2NQ31_MARHT	1:1	15872
Q5SM40_THET8	F2NQ29_MARHT	1:1	
Q5SM37_THET8	F2NQD8_MARHT	1:1	1109977
Q5SM35_THET8	F2NNX4_MARHT	1:1	634197
