Q5SME2_THET8	E6SK03_THEM7	1:1	
Q5SME1	E6SKU4_THEM7	1:1	1113391
Q5SME0_THET8	E6SG87_THEM7	1:1	
Q5SMD7	E6SKS2_THEM7	1:1	634193
Q5SMD2_THET8	E6SMN4_THEM7	1:1	1100755
Q5SMD1_THET8	E6SHD6_THEM7	1:1	
Q5SMC8	E6SIH0_THEM7	1:1	1113380
Q5SMC4_THET8	E6SKM0_THEM7	1:1	
Q5SMC3_THET8	E6SHG7_THEM7	n:m	
Q5SMC3_THET8	E6SII0_THEM7	n:m	
Q5SMC3_THET8	E6SMB0_THEM7	n:m	
Q5SMC3_THET8	E6SGW2_THEM7	n:m	
Q5SMC3_THET8	E6SH60_THEM7	n:m	
Q5SMC3_THET8	E6SH80_THEM7	n:m	
Q5SMC3_THET8	E6SJY9_THEM7	n:m	
Q5SMB1_THET8	E6SI91_THEM7	1:1	
Q5SMB0_THET8	E6SG67_THEM7	1:1	
Q5SMA3_THET8	E6SMM1_THEM7	1:m	
Q5SMA3_THET8	E6SHX0_THEM7	1:m	1088841
Q5SMA3_THET8	E6SJU0_THEM7	1:m	
Q5SMA0_THET8	E6SJ11_THEM7	1:1	
Q56232	E6SG59_THEM7	1:1	
Q5SM94_THET8	E6SLY3_THEM7	1:1	
Q5SM89_THET8	E6SIL1_THEM7	1:1	1039924
Q5SM87_THET8	E6SHQ0_THEM7	1:1	
Q5SM85_THET8	E6SKA9_THEM7	1:1	
Q5SM81_THET8	E6SM56_THEM7	1:1	
Q5SM80_THET8	E6SJA3_THEM7	1:1	1079189
Q5SM76_THET8	E6SM59_THEM7	1:1	1095275
Q5SM72_THET8	E6SGX6_THEM7	1:m	
Q5SM72_THET8	E6SI39_THEM7	1:m	
Q5SM69_THET8	E6SJM0_THEM7	1:1	633290
Q5SM67_THET8	E6SGB3_THEM7	1:1	
Q5SM66_THET8	E6SII8_THEM7	1:1	
Q5SM60	E6SL08_THEM7	1:1	1077515
Q56217	E6SMH2_THEM7	1:1	
Q56218	E6SMH3_THEM7	1:1	851737
Q56220	E6SMH5_THEM7	1:m	1031490
Q56220	E6SM67_THEM7	1:m	
Q60019	E6SMH6_THEM7	1:1	851695
Q56224	E6SMH7_THEM7	1:1	
Q56226	E6SMH9_THEM7	1:1	1054542
Q56227	E6SMI0_THEM7	1:1	851894
Q56228	E6SMI1_THEM7	1:1	851702
Q56229	E6SMI2_THEM7	1:1	
Q5SM45	E6SLH4_THEM7	1:1	
Q5SM43_THET8	E6SIY4_THEM7	1:1	782321
Q5SM40_THET8	E6SJ19_THEM7	1:1	1037436
Q5SM37_THET8	E6SJB1_THEM7	1:1	
Q5SM33_THET8	E6SME0_THEM7	1:1	
Q5SM31_THET8	E6SII5_THEM7	1:1	604804
Q5SM25	E6SJS2_THEM7	1:1	
Q5SM23	E6SK89_THEM7	1:1	1114849
Q5SM22_THET8	E6SJL9_THEM7	1:1	
Q5SM19_THET8	E6SJZ8_THEM7	1:1	1111392
Q5SM15	E6SHF3_THEM7	1:1	
Q5SM09	E6SMJ1_THEM7	1:1	1103677
Q5SM07_THET8	E6SLS0_THEM7	1:1	
Q5SM03	E6SLM9_THEM7	1:1	1111612
Q5SM01	E6SLZ7_THEM7	1:1	
Q5SM00_THET8	E6SH90_THEM7	1:1	
Q5SLZ8_THET8	E6SHG7_THEM7	n:m	
Q5SLZ8_THET8	E6SII0_THEM7	n:m	
Q5SLZ8_THET8	E6SMB0_THEM7	n:m	
Q5SLZ8_THET8	E6SGW2_THEM7	n:m	
Q5SLZ8_THET8	E6SH60_THEM7	n:m	
Q5SLZ8_THET8	E6SH80_THEM7	n:m	
Q5SLZ8_THET8	E6SJY9_THEM7	n:m	
Q5SLZ0_THET8	E6SGC2_THEM7	n:m	
Q5SLZ0_THET8	E6SHN3_THEM7	n:m	
Q5SLY6_THET8	E6SLW7_THEM7	1:1	1082940
Q5SLY2_THET8	E6SKB9_THEM7	1:1	604879
Q5SLY0_THET8	E6SM61_THEM7	1:1	
Q5SLX5_THET8	E6SLF4_THEM7	1:1	
Q5SLX1	E6SK12_THEM7	1:1	
Q5SLX0_THET8	E6SI58_THEM7	1:1	1099614
